Chromosome,chromStart,chromEnd,Chromosome.1,chromStart.1,chromEnd.1,PlotColor
E. coli,3350641,3350643,E. coli,2653491,2653587,gray48
E. coli,1671104,1671133,E. coli,1405658,1405685,gray48
E. coli,1670976,1671072,E. coli,4158278,4158309,gray48
E. coli,1671103,1671133,E. coli,1770465,1770478,gray48
E. coli,1670973,1671093,E. coli,1923103,1923157,gray48
E. coli,2278207,2278397,E. coli,3350628,3350698,gray48
E. coli,2277905,2278391,E. coli,2976102,2976354,gray48
E. coli,4528020,4528082,E. coli,4218858,4218964,gray48
E. coli,3350641,3350657,E. coli,2025302,2025381,gray48
E. coli,3121556,3121585,E. coli,3350678,3350698,gray48
E. coli,1923102,1923160,E. coli,3350608,3350698,gray48
E. coli,3350613,3350653,E. coli,686801,686842,gray48
E. coli,708225,708694,E. coli,507225,507290,gray48
E. coli,2924303,2924499,E. coli,4106354,4106387,gray48
E. coli,1770522,1770525,E. coli,4106353,4106385,gray48
E. coli,2470501,2470695,E. coli,2167141,2167201,gray48
E. coli,832334,832471,E. coli,2001911,2001943,gray48
E. coli,2942902,2943077,E. coli,3845732,3845751,gray48
E. coli,1405801,1405867,E. coli,4056427,4056562,gray48
E. coli,122859,122896,E. coli,4056426,4056563,gray48
E. coli,194730,194808,E. coli,4158278,4158300,gray48
E. coli,831955,832091,E. coli,1405658,1405696,gray48
E. coli,686685,686697,E. coli,1622824,1622849,gray48
E. coli,1958503,1958670,E. coli,3845731,3845748,gray48
E. coli,1923101,1923165,E. coli,4158278,4158298,gray48
lambda,4599168,4605312,E. coli,3350677,3350697,blue
lambda,3294624,3300768,E. coli,3350666,3350698,blue
lambda,2987712,2993952,E. coli,3350667,3350698,blue
lambda,220896,245760,E. coli,4106353,4106387,blue
lambda,182976,201504,E. coli,4106365,4106387,blue
lambda,748896,767904,E. coli,4106355,4106388,blue
lambda,1113888,1123008,E. coli,4106346,4106388,blue
lambda,4032288,4078944,E. coli,4106222,4106388,blue
lambda,4206144,4252224,E. coli,4106364,4106387,blue
lambda,4449120,4489152,E. coli,4106356,4106388,blue
E. coli,1409128,1409194,lambda,4332384,4348704,blue
E. coli,92484,92624,lambda,432288,433056,blue
E. coli,2942696,2942775,lambda,2650272,2654400,blue
E. coli,2942696,2942699,lambda,4625184,4633728,blue
E. coli,1977262,1977301,lambda,2253408,2254080,blue
E. coli,4158327,4158396,lambda,2583936,2589888,blue
E. coli,4158318,4158331,lambda,4598688,4605600,blue
E. coli,1770370,1770400,lambda,3396768,3398016,blue
E. coli,1770401,1770421,lambda,3397248,3397920,blue
E. coli,3558135,3558164,lambda,3256704,3260352,blue
lambda,2227776,2246208,lambda,2345472,2347488,red
lambda,2636448,2643936,lambda,2861184,2879232,red
lambda,272256,316416,lambda,70368,113664,red
lambda,97056,143712,lambda,271488,314112,red
lambda,221184,266112,lambda,356448,401088,red
lambda,270336,316032,lambda,134784,181728,red
lambda,154656,198624,lambda,358656,401088,red
lambda,173280,219840,lambda,298464,343488,red
lambda,43968,83520,lambda,278880,324672,red
lambda,210336,220800,lambda,393696,438432,red
