RNA1 EcoCyc ID	RNA2 EcoCyc ID	RNA1 name	RNA2 name	RNA1 description	RNA2 description	RNA1 chromosome	Start of RNA1 first read	Start of RNA1 last read	RNA1 strand	RNA2 chromosome	Start of RNA2 last read	Start of RNA2 first read	RNA2 strand	interactions	other interactions of RNA1	other interactions of RNA2	total other interactions	odds ratio	Fisher's exact test p-value	total RNA reads1	total RNA reads2	lib norm IP RNA1	lib norm IP RNA2	lib norm total RNA1	lib norm total RNA2	IP/total ratio1	IP/total ratio2	Normalized Odds Ratio (NOR)	RNA1 pred effect	RNA2 pred effect	Maximal RNA effect	Total reads IP: 30048261	Total reads total: 28058365
G0-8871	G0-8907	arcZ	C0614	small regulatory RNA ArcZ	-	chrI	3350641	3350643	+	chrI	2653491	2653587	-	35	522112	286	29525828	6.920546989	1.68E-10	7972	60	0.017376946	1.07E-05	0.000284122	2.14E-06	65.48940173	5.262295082	1.032545648	6.70E-05	0.016267913	0.016267913		
G0-10698	G0-8899	G0-10698	mcaS	-	small regulatory RNA McaS	chrI	1671104	1671133	-	chrI	1405658	1405685	-	23	153	268661	29779424	16.66280345	8.97E-13	23	3886	5.86E-06	0.008941749	8.20E-07	0.000138497	7.333333333	69.12374582	3.46452053	0.027171289	8.56E-05	0.027171289		
G0-10698	EG31116	G0-10698	oxyS	-	small regulatory RNA OxyS	chrI	1670976	1671072	-	chrI	4158278	4158309	-	23	1101	31808	30015329	19.71275219	6.37E-15	55	381	3.74E-05	0.001059329	1.96E-06	1.36E-05	20.07142857	83.32722513	11.21809693	0.011644838	0.000722566	0.011644838		
G0-10698	G0-8863	G0-10698	rprA	-	small regulatory RNA RprA	chrI	1671103	1671133	-	chrI	1770465	1770478	+	8	168	22177	30025908	64.47243283	1.76E-05	23	26	5.86E-06	0.000738312	8.20E-07	9.27E-07	7.333333333	821.6666667	13.40507123	0.009450883	0.000360604	0.009450883		
G0-10698	G0-8883	G0-10698	sdsR	-	small regulatory RNA SdsR	chrI	1670973	1671093	-	chrI	1923103	1923157	-	78	1046	92197	29954940	24.22783361	2.47E-69	55	531	3.74E-05	0.003070893	1.96E-06	1.89E-05	20.07142857	173.4492481	13.7875312	0.03949119	0.000845299	0.03949119		
G0-10700	G0-8871	G0-10700	arcZ	-	small regulatory RNA ArcZ	chrI	2278207	2278397	-	chrI	3350628	3350698	+	384	3819	652582	29391476	4.528640766	2.73E-112	1368	7972	0.000139875	0.021730575	4.88E-05	0.000284122	3.070124178	81.89715289	0.394200758	0.007952825	0.000588086	0.007952825		
G0-10700	G0-8882	G0-10700	omrB	-	small regulatory RNA OmrB	chrI	2277905	2278391	-	chrI	2976102	2976354	-	937	5426	496091	29545807	10.28476351	0	1969	1390	0.000211759	0.016540991	7.02E-05	4.95E-05	3.229949239	357.3170381	0.941854134	0.013485499	0.001885206	0.013485499		
G0-10609	G0-17105	ryjB	aceK-int	small RNA RyjB	small RNA AceK-int	chrI	4528020	4528082	+	chrI	4218858	4218964	+	79	796	770814	29276572	3.769507861	2.63E-14	4458	3232	2.91E-05	0.025655162	0.000158883	0.000115188	0.196232339	238.4450974	0.020972436	0.000502323	0.000102479	0.000502323		
G0-8871	G7047.G7048.IGR	arcZ	dsrA.yedP.IGR	small regulatory RNA ArcZ	small regulatory RNA DsrA : putative mannosyl-3-phosphoglycerate phosphatase	chrI	3350641	3350657	+	chrI	2025302	2025381	+	88	522059	281	29525833	17.71164603	6.02E-64	7972	52	0.017376946	1.23E-05	0.000284122	1.85E-06	65.48940173	6.962264151	3.496254692	0.000168535	0.047076096	0.047076096		
EG20080.G0-8912.IGR	G0-8871	glcB.C0719.IGR	arcZ	malate synthase G : -	small regulatory RNA ArcZ	chrI	3121556	3121585	-	chrI	3350678	3350698	+	12	16	652954	29395279	33.76418438	2.80E-06	20	7972	9.32E-07	0.021730575	7.13E-07	0.000284122	1.333333333	81.89715289	1.276405425	0.016201514	1.84E-05	0.016201514		
G0-8865	G0-8871	ryeA	arcZ	small antisense RNA RyeA	small regulatory RNA ArcZ	chrI	1923102	1923160	+	chrI	3350608	3350698	+	47	658	652919	29394637	3.215738749	0.000355681	371	7972	2.35E-05	0.021730575	1.32E-05	0.000284122	1.89516129	81.89715289	0.172790785	0.00358219	7.20E-05	0.00358219		
G0-8871	G0-9383	arcZ	sroC	small regulatory RNA ArcZ	small regulatory RNA SroC	chrI	3350613	3350653	+	chrI	686801	686842	-	362	521785	14123	29511991	1.44973469	0.000293113	7972	927	0.017376946	0.000482058	0.000284122	3.30E-05	65.48940173	15.60883621	0.641582776	0.000693291	0.011059977	0.011059977		
G0-17083	G0-9382	chiZ	chiX	small regulatory RNA ChiZ	small regulatory RNA ChiX	chrI	708225	708694	+	chrI	507225	507290	+	29448	34381	4974818	25009614	4.305931255	0	330	6725	0.002124216	0.166540952	1.18E-05	0.000239679	192.836858	744.0181386	4.305931255	0.46135769	0.005884579	0.46135769		
G0-8785	G0-16649	csrB	cpxQ	small regulatory RNA CsrB	small regulatory RNA CpxQ	chrI	2924303	2924499	-	chrI	4106354	4106387	+	49	2443	164171	29881598	3.6507323	9.16E-07	9133	835	8.29E-05	0.005465208	0.0003255	2.98E-05	0.272826801	196.4354067	0.028239738	0.0001521	0.00029838	0.00029838		
G6915.G0-8863.IGR	G0-16649	ydiL.rprA.IGR	cpxQ	DUF1870 domain-containing protein YdiL : small regulatory RNA RprA	small regulatory RNA CpxQ	chrI	1770522	1770525	-	chrI	4106353	4106385	+	6	19	164214	29884022	57.46805741	0.0495857	0	835	8.32E-07	0.005465208	0	2.98E-05	25	196.4354067	40.73429152	0.170115894	3.65E-05	0.170115894		
G0-16635	G0-8878	ryeG	cyaR	small RNA RyeG	small regulatory RNA CyaR	chrI	2470501	2470695	-	chrI	2167141	2167201	+	723	2805	1449745	28594988	5.083978798	2.73E-230	287	8075	0.000117411	0.048271279	1.02E-05	0.000287793	12.25	179.6022784	1.765767264	0.071176963	0.00049846	0.071176963		
EG11579.EG11235.IGR	G0-17102	ybiA.rhlE.IGR	fliX	N-glycosidase YbiA : ATP-dependent RNA helicase RhlE	small RNA FliX	chrI	832334	832471	-	chrI	2001911	2001943	-	22	179	375339	29672721	9.716354025	2.26E-07	86	6132	6.69E-06	0.012491938	3.07E-06	0.000218544	2.310344828	61.20348932	0.636463902	0.007169635	5.86E-05	0.007169635		
G0-8867.G7453.IGR	G0-17104	gcvB.ygdI.IGR	uhpU	small regulatory RNA GcvB : DUF903 domain-containing lipoprotein YgdI	small RNA UhpU	chrI	2942902	2943077	+	chrI	3845732	3845751	-	21	1914	62432	29983894	5.269363362	0.022532859	277	339	6.44E-05	0.002078423	9.87E-06	1.21E-05	6.960431655	183.6852941	1.039891342	0.002141747	0.000336253	0.002141747		
G6672.G0-8899.IGR	G0-17117	smrA.mcaS.IGR	glnZ	DNA endonuclease SmrA : small regulatory RNA McaS	-	chrI	1405801	1405867	-	chrI	4056427	4056562	-	10	83	183540	29864628	19.60416232	0.004231979	3	1344	3.10E-06	0.006108507	1.07E-07	4.79E-05	23.25	136.4684015	12.92304595	0.070881623	5.45E-05	0.070881623		
G0-8894.EG10024.IGR	G0-17117	tp2.aceE.IGR	glnZ	- : pyruvate dehydrogenase E1 component	-	chrI	122859	122896	+	chrI	4056426	4056563	-	22	127	183528	29864584	28.18857343	1.20E-16	389	1344	4.96E-06	0.006108507	1.39E-05	4.79E-05	0.382051282	136.4684015	0.305343304	0.00159938	0.000119858	0.00159938		
G0-17084	EG31116	ispZ	oxyS	small regulatory RNA IspZ	small regulatory RNA OxyS	chrI	194730	194808	+	chrI	4158278	4158300	-	166	6799	28535	30012761	25.67976942	7.36E-159	768	172	0.000231794	0.000955163	2.74E-05	6.13E-06	9.057217165	165.9017341	6.594464616	0.006120338	0.005783771	0.006120338		
EG11235.AS	G0-8899	rhlE.AS	mcaS	ATP-dependent RNA helicase RhlE	small regulatory RNA McaS	chrI	831955	832091	-	chrI	1405658	1405696	-	25	470	268659	29779107	5.895931471	9.90E-05	15	3886	1.65E-05	0.008941749	5.35E-07	0.000138497	30.9375	69.12374582	5.171675713	0.044301014	9.30E-05	0.044301014		
G0-9383	G0-10671	sroC	mgrR	small regulatory RNA SroC	small regulatory RNA MgrR	chrI	686685	686697	-	chrI	1622824	1622849	-	16	1254	39057	30007934	9.803014847	0.000329668	357	657	4.23E-05	0.001300341	1.27E-05	2.34E-05	3.547486034	59.38145897	0.985993374	0.001267157	0.00040949	0.001267157		
