RNA1 EcoCyc ID	RNA2 EcoCyc ID	RNA1 name	RNA2 name	RNA1 description	RNA2 description	RNA1 chromosome	Start of RNA1 first read	Start of RNA1 last read	RNA1 strand	RNA2 chromosome	Start of RNA2 last read	Start of RNA2 first read	RNA2 strand	interactions	other interactions of RNA1	other interactions of RNA2	total other interactions	odds ratio	Fisher's exact test p-value	total RNA reads1	total RNA reads2	lib norm IP RNA1	lib norm IP RNA2	lib norm total RNA1	lib norm total RNA2	IP/total ratio1	IP/total ratio2	Normalized Odds Ratio (NOR)	RNA1 pred effect	RNA2 pred effect	Maximal RNA effect	Total reads IP: 19300722	Total reads total: 21214610
G0-8871	G0-8907	arcZ	C0614	small regulatory RNA ArcZ	-	chrI	3350641	3350642	+	chrI	2653514	2653600	-	26	201616	136	19098944	18.11001461135204	2.512462899548044e-16	3543	4	0.01044738119123212	8.393468389420873e-06	0.00016700754810010647	1.885493063506706e-07	56.896726862302486	32.4	18.11001461135204	0.00012894139117842514	0.16049382716049382	0.16049382716049382
G0-10698	G0-8899	G0-10698	mcaS	-	small regulatory RNA McaS	chrI	1671116	1671135	-	chrI	1405657	1405689	-	11	51	86495	19214165	47.91296221361543	2.3081365876598494e-08	10	2455	3.2123150626178647e-06	0.00448200849688421	4.713732658766765e-07	0.00011572213677272407	5.636363636363637	35.222312703583064	15.306320865705128	0.0566785572730876	0.00012715880979354032	0.0566785572730876
G0-10700	G0-8871	G0-10700	arcZ	-	small regulatory RNA ArcZ	chrI	2278206	2278397	-	chrI	3350668	3350698	+	164	1838	224590	19074130	7.577966204261171	1.1527100585648798e-75	1092	3543	0.00010372668960259621	0.011644849348122831	5.1473960633733076e-05	0.00016700754810010647	1.8316559926806952	63.418171557562076	0.7867112529062409	0.008504376388642602	0.000729686679658649	0.008504376388642602
G0-8871	G7047.G7048.IGR	arcZ	dsrA.yedP.IGR	small regulatory RNA ArcZ	small regulatory RNA DsrA : putative mannosyl-3-phosphoglycerate phosphatase	chrI	3350641	3350642	+	chrI	2025312	2025497	+	7	201635	13	19099067	51.003610484290924	0.003572487838922681	3543	14	0.01044738119123212	1.0362306653606015e-06	0.00016700754810010647	6.599225722273471e-07	56.896726862302486	1.3333333333333333	3.854414743957512	3.471498993265292e-05	0.02644999339410754	0.02644999339410754
G0-8865	G0-8871	ryeA	arcZ	small antisense RNA RyeA	small regulatory RNA ArcZ	chrI	1923080	1923196	+	chrI	3350612	3350697	+	26	445	224728	19075523	4.959439586192387	0.0005227223722071689	794	3543	2.4403232169242165e-05	0.011644849348122831	3.7427037310608114e-05	0.00016700754810010647	0.5924528301886792	63.418171557562076	0.16653486512702798	0.0018536383510695314	0.00011568203458002973	0.0018536383510695314
G0-8871	G0-9383	arcZ	sroC	small regulatory RNA ArcZ	small regulatory RNA SroC	chrI	3350576	3350667	+	chrI	686801	687197	-	1127	210520	20083	19068992	5.083112281447914	0.0	3660	911	0.010965755581578761	0.001098922620614918	0.0001725226153108636	4.2942104521365226e-05	57.81125375580442	23.25657894736842	5.083112281447914	0.0053249042036976665	0.05313531353135314	0.05313531353135314
G0-8785	G0-16649	csrB	cpxQ	small regulatory RNA CsrB	small regulatory RNA CpxQ	chrI	2924239	2924491	-	chrI	4106354	4106387	+	30	1470	63995	19235227	6.134161310434011	7.739376308580733e-08	8056	803	7.771729990204512e-05	0.0033172334174856257	0.0003797383029902506	3.785127324989712e-05	0.1861735137147822	79.63308457711443	0.06472795329945243	0.00021104092319630482	0.00046856696602889497	0.00046856696602889497
G0-17117	G0-16649	glnZ	cpxQ	-	small regulatory RNA CpxQ	chrI	4056601	4056633	-	chrI	4106349	4106389	+	252	38973	63773	19197724	1.9464784481142179	5.673213382915264e-15	499	803	0.00203230739243848	0.0033172334174856257	2.3521525967246157e-05	3.785127324989712e-05	78.45	79.63308457711443	1.9464784481142179	0.006424474187380497	0.003935962514642718	0.006424474187380497
G0-17110	G0-16649	sokE	cpxQ	small RNA SokE	small regulatory RNA CpxQ	chrI	607762	607793	-	chrI	4106357	4106385	+	19	277	64006	19236420	20.6147178665899	5.127737847226674e-12	172	803	1.5336213847336903e-05	0.0033172334174856257	8.107620173078836e-06	3.785127324989712e-05	1.7109826589595376	79.63308457711443	1.999133470011197	0.006224812648489389	0.0002967590784849668	0.006224812648489389
G0-16635	G0-8878	ryeG	cyaR	small RNA RyeG	small regulatory RNA CyaR	chrI	2470605	2470731	-	chrI	2167137	2167201	+	409	1444	353553	18945316	15.177611833801157	5.65625528415572e-293	121	2368	9.600677114565973e-05	0.018339313938618464	5.703616517107785e-06	0.000111621189359597	15.188524590163935	149.4140987758548	13.065854486620783	0.1900125403663346	0.0011554912674241868	0.1900125403663346
G0-8894.EG10024.IGR	G0-17117	tp2.aceE.IGR	glnZ	- : pyruvate dehydrogenase E1 component	-	chrI	122859	122906	+	chrI	4056425	4056580	-	45	969	59334	19240374	15.059086197347836	1.08322844414729e-29	2643	1412	5.25368947337825e-05	0.003076517033922358	0.00012458395417120559	6.655790514178672e-05	0.3835098335854766	42.02335456475584	0.3273361049281303	0.0009646501805177541	0.0007578436821098368	0.0009646501805177541
G0-17084	EG31116	ispZ	oxyS	small regulatory RNA IspZ	small regulatory RNA OxyS	chrI	194733	194791	+	chrI	4158278	4158303	-	19	1564	3683	19295456	63.64586303420777	2.961386564511215e-21	282	69	8.201765716329161e-05	0.00019180629615824735	1.3292726097722278e-05	3.2524755345490677e-06	5.593639575971731	52.885714285714286	20.17824756997542	0.003805274163210828	0.005132360886007563	0.005132360886007563
G0-16601	G0-17104	micL	uhpU	small regulatory RNA MicL-S	small RNA UhpU	chrI	1958516	1958697	-	chrI	3845732	3845762	-	50	14955	12598	19273119	5.114862765785848	3.2023699046019223e-13	418	254	0.0007774320566867913	0.0006553122727740444	1.9703402513645076e-05	1.1972880953267583e-05	35.81145584725537	49.6	5.114862765785848	0.003332222592469177	0.0039531941808981655	0.0039531941808981655
G0-8865	EG31116	ryeA	oxyS	small antisense RNA RyeA	small regulatory RNA OxyS	chrI	1923116	1923344	+	chrI	4158296	4158309	-	7	594	3695	19296426	61.54234359836525	0.00017832120515317163	837	69	3.1138731494086074e-05	0.00019180629615824735	3.945394235387782e-05	3.2524755345490677e-06	0.7171837708830548	52.885714285714286	2.501631120599461	0.00047344856910693693	0.0018908698001080498	0.0018908698001080498
G0-8880	G0-17077	rybB	rbsZ	small regulatory RNA RybB	small regulatory RNA RbsZ	chrI	888014	888108	-	chrI	3937210	3937279	+	121	39169	1737	19259695	34.252515629355884	1.7683299595714316e-128	69	966	0.0020356751421009016	9.626582881199988e-05	3.2524755345490677e-06	4.553465748368695e-05	561.2857142857143	1.921406411582213	3.7301860679580665	0.0030796640366505474	0.007092146256508374	0.007092146256508374
